ICA_Basis,0.005482,,,,,,,,,,,,,,,,,,,,
Q,DCT_only,DCT_area,ICA_area,ICA_Num,ICA_DC,Basis_Type,Basis_Num,,No_Options,With_Options,,,,,,,,,,,
100,3.777206,3.718392,0.003472,26,0.002623,3,1.269231,,3.724487,3.740933,49.255986,,0.052719,,9.616745713,,49.541853,,0.996421,,
90,1.315953,1.293235,0.004333,69,0.006961,2,0.681159,,1.304529,1.315493,36.35343,,0.011424,,2.083910981,,36.362422,,0.960175,,
80,0.875101,0.845766,0.005088,127,0.012812,2,0.511811,,0.863666,0.87463,33.247743,,0.011435,,2.085917548,,33.254558,,0.934474,,
70,0.737745,0.688644,0.009427,208,0.020984,3,0.557692,,0.719055,0.735501,31.583078,,0.01869,,3.409339657,,31.64545,,0.912219,,
60,0.642954,0.600317,0.005974,233,0.023506,2,0.351931,,0.629797,0.640761,30.424644,,0.013157,,2.400036483,,30.542891,,0.89257,,
50,0.581599,0.509417,0.017054,361,0.036419,3,0.562327,,0.56289,0.579336,29.928881,,0.018709,,3.412805545,,29.852876,,0.882011,,
40,0.512005,0.43504,0.02,392,0.039546,3,0.591837,,0.494586,0.511032,29.128836,,0.017419,,3.177489967,,29.085376,,0.865751,,
30,0.436783,0.360517,0.015183,419,0.04227,3,0.439141,,0.41797,0.434416,28.364986,,0.018813,,3.431776724,,28.262196,,0.846911,,
20,0.335247,0.24773,0.014171,546,0.055082,3,0.318681,,0.316983,0.333429,27.081449,,0.018264,,3.331630792,,26.8513,,0.810346,,Šî’ê0‚Ì‚Ý‚ÌSSIM
10,0.21991,0.132729,0.005059,637,0.064263,3,0.10989,,0.202051,0.218497,24.798672,,0.017859,,3.257752645,,24.315009,,0.734144,,0.734564
