ICA_Basis,0.005111,,,,,,,,,,,,,,,,,DCT,,
Q,DCT_only,DCT_area,ICA_area,ICA_Num,ICA_DC,Basis_Type,Basis_Num,,No_Options,With_Options,,,,,,,,Q,entropy,PSNR
100,3.614743,3.612747,0,3,0.000314,0,0,,3.613061,3.613061,,0.001682,,0.329094111,,49.56,,10,0.187588,24.238781
90,1.249958,1.240494,0.000324,38,0.003977,1,0.078947,,1.244795,1.249906,,0.005163,,1.010174134,,36.3,,20,0.334213,26.469605
80,0.819349,0.794423,0.000617,147,0.015385,1,0.047619,,0.810425,0.815536,,0.008924,,1.746037957,,32.98,,30,0.456957,27.79793
70,0.666553,0.624363,0.000883,280,0.029304,2,0.035714,,0.65455,0.664772,,0.012003,,2.348464097,,31.36,,40,0.561228,28.702841
60,0.563461,0.518983,0.000363,336,0.035165,1,0.008929,,0.554511,0.559622,,0.00895,,1.751125024,,30.29,,50,0.657345,29.413442
50,0.494772,0.434405,0.000579,466,0.048771,2,0.01073,,0.483755,0.493977,,0.011017,,2.15554686,,29.52,,60,0.766528,30.238872
40,0.433817,0.376335,0.000456,447,0.046782,2,0.008949,,0.423573,0.433795,,0.010244,,2.004304441,,28.81,,70,0.924882,31.321749
30,0.365132,0.305318,0.000701,458,0.047934,2,0.017467,,0.353953,0.364175,,0.011179,,2.187243201,,27.92,,80,1.172513,32.964281
20,0.287069,0.21041,0.000698,593,0.062062,2,0.013491,,0.27317,0.283392,,0.013899,,2.719428683,,26.73,,90,1.712423,36.294604
10,0.20061,0.106262,0.001433,732,0.07661,3,0.021858,,0.184305,0.199638,,0.016305,,3.190178047,,24.78,,100,3.634524,49.553423
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.197233,25.18652,,3.613061,49.56,,0,,,,
,,,,,,,,,,0.298646,27.061352,,1.245199,36.3,,0,,,,
,,,,,,,,,,0.392731,28.250238,,0.810575,32.98,,0,,,,
,,,,,,,,,,0.478194,29.089723,,0.654741,31.36,,0,,,,
,,,,,,,,,,0.559102,29.75816,,0.554453,30.29,,0,,,,
,,,,,,,,,,0.657531,30.512412,,0.484596,29.52,,0,,,,
,,,,,,,,,,0.800382,31.856377,,0.423935,28.8,,0.01,,,,
,,,,,,,,,,1.047075,33.163959,,0.355567,27.91,,0.01,,,,
,,,,,,,,,,1.607079,36.448516,,0.274174,26.71,,0.02,,,,
,,,,,,,,,,3.741648,49.632764,,0.1854,24.76,,0.02,,,,
