ICA_Basis,0.055403,,,,,,,,,,,,,,,,DCT,,
Q,DCT_only,DCT_area,ICA_area,ICA_Num,ICA_DC,Basis_Type,Basis_Num,,No_Options,With_Options,,,,,,,Q,entropy,PSNR
100,3.614743,2.953432,0.134852,227,0.023757,10,5.625551,,3.112041,3.666071,,-0.051328,,40.4,,,10,0.187588,24.238781
90,1.249958,0.599063,0.125941,429,0.044898,10,2.911422,,0.769902,1.323932,,-0.073974,,23.18,,,20,0.334213,26.469605
80,0.819349,0.339211,0.063018,544,0.056934,7,1.193015,,0.459163,0.846984,,-0.027635,,22.51,,,30,0.456957,27.79793
70,0.666553,0.253565,0.031725,620,0.064888,6,0.451613,,0.350178,0.682596,,-0.016043,,21.61,,,40,0.561228,28.702841
60,0.563461,0.208856,0.019499,648,0.067819,5,0.262346,,0.296174,0.573189,,-0.009728,,21.25,,,50,0.657345,29.413442
50,0.494772,0.17419,0.018362,745,0.07797,4,0.249664,,0.270522,0.492134,,0.002638,,21.7,,,60,0.766528,30.238872
40,0.433817,0.155399,0.013896,711,0.074412,3,0.201125,,0.243707,0.409916,,0.023901,,21.62,,,70,0.924882,31.321749
30,0.365132,0.129267,0.006508,707,0.073993,2,0.093352,,0.209768,0.320574,,0.044558,,21.46,,,80,1.172513,32.964281
20,0.287069,0.076476,0.005439,825,0.086343,2,0.067879,,0.168258,0.279064,,0.008005,,21.22,,,90,1.712423,36.294604
10,0.20061,0.038955,0.001001,892,0.093355,1,0.01009,,0.133311,0.188714,,0.011896,,21.05,,,100,3.634524,49.553423
