ICA_Basis,0.054453,,,,,,,,,,,,,,,,DCT,,
Q,DCT_only,DCT_area,ICA_area,ICA_Num,ICA_DC,Basis_Type,Basis_Num,,No_Options,With_Options,,,,,,,Q,entropy,PSNR
100,5.608221,3.494457,0.520016,395,0.04142,13,11.139241,,4.055893,4.763782,,0.844439,,,29.71,,10,0.20592,21.900344
90,2.556014,0.669624,0.723425,686,0.071934,22,8.994169,,1.464983,2.662949,,-0.106935,,,23.75,,20,0.515962,23.620969
80,1.620403,0.408066,0.405496,686,0.071934,20,4.951895,,0.885496,1.974556,,-0.354153,,,23.03,,30,0.776069,24.619931
70,1.340299,0.343232,0.23826,680,0.071305,16,3.033824,,0.652797,1.524045,,-0.183746,,,22.63,,40,0.99887,25.405561
60,1.174598,0.310075,0.166259,665,0.069732,14,2.233083,,0.546066,1.308408,,-0.13381,,,22.42,,50,1.185,26.022949
50,1.06017,0.300676,0.10208,649,0.068054,11,1.456086,,0.47081,1.069793,,-0.009623,,,22.29,,60,1.385191,26.672822
40,0.913997,0.264209,0.068863,645,0.067635,10,0.869767,,0.400707,0.945237,,-0.03124,,,22.08,,70,1.667798,27.724406
30,0.711139,0.205885,0.043597,653,0.068473,7,0.67075,,0.317955,0.699126,,0.012013,,,22,,80,2.081094,29.40055
20,0.486442,0.154824,0.013475,674,0.070675,4,0.163205,,0.238974,0.456786,,0.029656,,,21.7,,90,2.930798,33.135671
10,0.257417,0.074962,0.000783,770,0.080742,1,0.007792,,0.156487,0.21094,,0.046477,,,21.22,,100,4.943214,49.443472
