ICA_Basis,0.005379,,,,,,,,,,,,,,,,,DCT,,,,
Q,DCT_only,DCT_area,ICA_area,ICA_Num,ICA_DC,Basis_Type,Basis_Num,,No_Options,With_Options,,,,,,,,Q,entropy,PSNR,,
100,4.239593,4.239593,0,0,0,0,#NAME?,,4.239593,4.239593,,0,,0,,49.51,,10,0.221545,22.432924,,
90,1.506372,1.505842,0,2,0.000218,0,0,,1.50606,1.50606,,0.000312,,0.058003346,,36.99,,20,0.379917,25.107628,,
80,1.068409,1.06675,0,9,0.000982,0,0,,1.067732,1.067732,,0.000677,,0.125859825,,33.62,,30,0.520672,26.912395,,
70,0.922191,0.919312,0,18,0.001964,0,0,,0.921276,0.921276,,0.000915,,0.170105968,,31.7,,40,0.637022,28.243827,,
60,0.813768,0.81031,0,22,0.002401,0,0,,0.812711,0.812711,,0.001057,,0.196504927,,30.32,,50,0.731011,29.289903,,
50,0.731011,0.726134,0,34,0.00371,0,0,,0.729844,0.729844,,0.001167,,0.216954824,,29.3,,60,0.813768,30.315314,,
40,0.637022,0.631056,0,41,0.004474,0,0,,0.63553,0.63553,,0.001492,,0.277374977,,28.25,,70,0.922191,31.698204,,
30,0.520672,0.51204,0,57,0.00622,0,0,,0.51826,0.51826,,0.002412,,0.448410485,,26.92,,80,1.068409,33.615789,,
20,0.379917,0.360587,0,135,0.014731,0,0,,0.375318,0.375318,,0.004599,,0.854991634,,25.15,,90,1.506372,36.988338,,
10,0.221545,0.168101,0,383,0.041792,0,0,,0.209893,0.209893,,0.011652,,2.166201896,,22.61,,100,4.239593,49.507325,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Barbara,,Cameraman,,,Mandrill,
,,,,,,,,,,,,,,,,,,3.613061,0.329094111,,5.608221,0
,,,,,,,,,,,,,,,,,,1.245199,0.931128938,,2.556014,0
,,,,,,,,,,,,,,,,,,0.810575,1.716689493,,1.620403,0
,,,,,,,,,,,,,,,,,,0.654741,2.311093719,,1.34018,0.022251309
,,,,,,,,,,,,,,,,,,0.554453,1.762473097,,1.174217,0.071241586
,,,,,,,,,,,,,,,,,,0.484596,1.990999804,,1.059249,0.172213912
,,,,,,,,,,,,,,,,,,0.423935,1.933476815,,0.912126,0.349850411
,,,,,,,,,,,,,,,,,,0.355567,1.871453727,,0.708325,0.52617801
,,,,,,,,,,,,,,,,,,0.274174,2.52298963,,0.479464,1.304786836
,,,,,,,,,,,,,,,,,,0.1854,2.975934259,,0.235595,4.080403889
